"NSE Symbol","Regd Office City","Market Capitalisation","BSE-Quarterly Average Volume","NSE-Quarterly Average Volume","BSE-Yearly Average Volume","NSE-Yearly Average Volume","BSE Code"
"MAHEPC","Nashik","386.30","20.58","223.68","14.92","150.65","523754"
"MAHESHWARI","Vapi","162.19","","13.77","","30.82",""
"MAHICKRA","Ahmedabad","130.85","","4.86","","13.46",""
"MAHINDUGIN","Mumbai","1876.68","","","","","504823"
"MAHKTECH","","","126.69","1443.35","204.82","1632.92","543414"
"MAHLIFE","Mumbai","8561.37","16.70","213.22","26.37","338.62","532313"
"MAHLOG","Mumbai","3383.55","8.50","139.56","13.08","179.76","540768"
"MAHSCOOTER","Pune","16862.11","0.58","11.42","0.62","9.87","500266"
"MAHSEAMLES","Raigad Dist","7359.91","15.93","188.70","24.35","405.57","500265"
"MAITHANALL","Kolkata","3115.08","2.80","34.30","4.07","51.47","590078"
"MAITREYA","Surat","156.46","","3.30","","5.97",""
"MAJESAUTO","New Delhi","353.72","2.68","","2.94","","500267"
"MAKE","Mumbai","1995.83","","","","","538503"
"MAKEINDIA","","","3.08","30.81","4.16","37.44","543454"
"MAKS","Pune","22.75","","4.83","","9.16",""
"MAL","Gandhinagar","129.85","","13.11","","40.27",""
"MALLCOM","Kolkata","886.58","0.80","7.92","0.98","8.50","539400"
"MALUPAPER","Nagpur","65.18","6.86","41.82","7.12","58.31","532728"
"MAMATA","Ahmedabad","1081.88","78.02","799.03","117.89","923.40","544318"
"MANAKALUCO","Kolkata","180.87","7.51","82.45","15.33","98.33","539045"
"MANAKCOAT","Kolkata","1529.30","117.80","1231.98","54.78","485.47","539046"
"MANAKSIA","Kolkata","429.77","4.26","46.25","8.80","74.33","532932"
"MANAKSTEEL","Kolkata","390.85","1.88","13.50","11.05","69.94","539044"
"MANALIPETC","Chennai","1192.81","58.45","737.08","78.07","764.41","500268"
"MANAPPURAM","Thrissur","23205.01","241.23","3890.16","398.61","8874.77","531213"
"MANAV","Mumbai","29.71","","11.85","","10.47",""
"MANBA","Mumbai","699.58","22.94","59.59","30.51","234.27","544262"
"MANCREDIT","Mumbai","377.62","8.04","46.02","7.52","40.98","505850"
"MANDEEP","Faridabad","26.47","","6.61","","10.60",""
"MANGALAM","Mumbai","100.94","5.11","28.78","5.81","38.72","532637"
"MANGCHEFER","Bengaluru","3655.01","26.15","473.05","38.35","513.09","530011"
"MANGLMCEM","Kota Dist","2084.16","4.50","75.38","3.81","81.42","502157"
"MANINDS","Mumbai","2849.24","43.52","664.88","41.15","531.66","513269"
"MANINFRA","Mumbai","5532.25","35.93","369.98","70.64","1085.98","533169"
"MANJEERA","Hyderabad","45.03","","","0.14","","533078"
"MANKIND","New Delhi","95320.38","11.19","387.91","14.55","514.24","543904"
"MANOMAY","Bhilwara","390.48","3.26","24.86","2.67","25.17","540396"
"MANORAMA","Mumbai","7785.69","10.92","120.56","19.76","128.71","541974"
"MANORG","Khopoli","426.08","1.23","3.48","1.43","6.02","514418"
"MANTRIHSG","Pune","","","","","","523794"
"MANUGRAPH","Mumbai","59.46","7.26","12.78","6.30","34.48","505324"
"MANYAVAR","Kolkata","15664.20","17.20","186.28","15.10","240.18","543463"
"MAPMYINDIA","New Delhi","9618.97","8.62","171.92","21.61","165.81","543425"
"MARALOVER","Khargone","204.59","10.21","55.66","5.37","42.48","521018"
"MARATHON","Mumbai","3935.67","16.71","124.36","17.47","144.19","503101"
"MARCO","Thane","76.48","","15.88","","22.77",""
"MARG","Chennai","18.35","","","","","530543"
"MARICO","Mumbai","92451.96","42.59","1750.07","57.00","2030.12","531642"
"MARINE","Mumbai","3156.17","","463.05","","458.24",""
"MARINETRAN","Navi Mumbai","19.66","","5.67","","11.26",""
"MARKOLINES","Navi Mumbai","356.29","159.82","167.18","112.90","167.18","543364"
"MARKSANS","Mumbai","8363.14","102.95","1452.35","172.05","1557.57","524404"
"MARSHALL","Ludhiana","9.70","","25.69","","26.00",""
"MARUTI","New Delhi","485860.45","18.02","487.97","13.09","409.10","532500"
"MASFIN","Ahmedabad","5518.00","7.07","94.59","13.22","167.33","540749"
"MASKINVEST","Surat","48.82","","4.16","","1.37",""
"MASON","Thane","462.13","","20.53","","32.99",""
"MASPTOP50","","","16.94","243.73","32.64","357.97","543365"
"MASTEK","Ahmedabad","6545.13","9.48","104.92","11.19","208.68","523704"
"MASTER","Nashik","136.62","","5.54","","5.52",""
"MASTERTR","Ludhiana","1581.37","64.33","1024.20","33.94","417.12","511768"
"MATHPLATT","Mumbai","32.98","0.11","","0.05","","500450"
"MATRIMONY","Chennai","1099.84","1.57","13.46","1.37","17.18","540704"
"MAWANASUG","New Delhi","336.48","5.16","43.27","7.65","77.96","523371"
"MAXESTATES","New Delhi","7819.58","6.47","110.68","10.24","152.81","544008"
"MAXHEALTH","Mumbai","109532.16","70.03","3518.47","63.92","2527.75","543220"
"MAXIND","Mumbai","1099.99","15.99","132.26","11.47","90.52","543223"
"MAXINDIA","Mumbai","1846.21","","","","","539981"
"MAXPOSURE","New Delhi","115.87","","15.63","","26.31",""
"MAXVIL","Nawanshahar","3172.96","","","","","539940"
"MAXVOLT","New Delhi","381.36","","76.94","","64.36",""
"MAYASHEEL","Ghaziabad","155.23","","82.02","","129.27",""
"MAYURUNIQ","Jaipur Dist","2335.79","4.58","41.14","5.45","73.01","522249"
"MAZDA","Ahmedabad","537.17","3.17","27.53","5.52","55.58","523792"
"MAZDOCK","Mumbai","106062.72","102.07","1233.28","212.82","2930.52","543237"
"MBAPL","Bhilwara","3670.25","","190.13","","134.41",""
"MBECL","Kolkata","10.80","","","28.45","56.08","532629"
"MBEL","Ahmedabad","2492.23","134.37","1296.33","161.97","1523.18","544470"
"MBIND","Mumbai","249.41","10.16","","4.07","","524828"
"MBLINFRA","Jasola","614.85","11.97","134.02","17.74","255.58","533152"
"MCDHOLDING","Bengaluru","96.90","","","","","532852"
"MCL","Bhavnagar","126.87","","169.07","","132.66",""
"MCLEODRUSS","Kolkata","655.15","169.84","1054.65","141.29","843.68","532654"
"MCLOUD","Hyderabad","3481.83","506.52","4662.54","596.62","3536.64","538891"
"MCON","Mumbai","51.27","","12.49","","20.29",""
"MCX","Mumbai","47184.46","30.87","529.56","26.01","520.43","534091"
"MDL","Jamnagar","170.31","","27.62","","16.88",""
"MEDANTA","New Delhi","34410.54","23.68","352.95","18.24","319.51","543654"
"MEDIASSIST","Mumbai","3812.83","19.29","273.54","33.50","227.91","544088"
"MEDICAMEQ","New Delhi","540.55","2.04","27.10","3.23","38.90","531146"
"MEDICAPS","Indore","46.45","2.28","","6.61","","523144"
"MEDICO","Mumbai","415.67","27.83","371.22","92.00","929.52","540937"
"MEDIORG","New Delhi","37.03","","9.26","","17.87",""
"MEDISTEP","Ahmedabad","31.83","","109.25","","109.25",""
"MEDPLUS","Hyderabad","9412.06","28.23","295.81","18.43","276.38","543427"
"MEGAFLEX","Kolkata","76.73","","19.00","","12.97",""
"MEGASOFT","Chennai","1550.28","68.35","318.56","46.74","204.62","532408"
"MEGASTAR","Chandigarh","327.35","2.93","34.04","3.25","23.85","541352"
"MEGATHERM","Kolkata","460.56","","24.67","","27.64",""
"MEGH","Ahmedabad","3509.54","","","","","532865"
"MEIL","Jaipur","1240.87","45.83","338.25","45.83","338.25","544492"
"MELSTAR","Mumbai","7.19","","","","","532307"
"MENONBE","Kolhapur","648.66","6.17","56.26","6.11","57.30","523828"
"MEP","Mumbai","53.07","80.68","76.44","80.98","112.73","539126"
"MERCATOR","Mumbai","25.41","","","","","526235"
"METAL","","","436.02","1858.16","214.85","938.94","544268"
"METALFORGE","Pune Dist","17.86","","","","","513335"
"METALIETF","","","409.79","7946.75","413.57","5174.24","544229"
"METKORE","Hyderabad","4.65","","","","","532990"
"METROBRAND","Mumbai","30727.34","11.15","80.83","6.86","97.04","543426"
"METROCHEM","Ahmedabad","46.48","","","","","524683"
"METROPOLIS","Mumbai","10411.55","3.79","77.95","5.39","136.06","542650"
"MFML","Ahmedabad","29.68","7.23","31.10","3.23","16.72","544233"
"MFSL","Nawanshahar","54666.18","21.15","572.53","34.76","849.21","500271"
"MGEL","Ahmedabad","476.87","103.27","1615.12","77.75","1200.51","544273"
"MGL","Mumbai","12160.53","14.38","271.99","25.02","578.87","539957"
"MGOLD","","0.00","","","","","534185"
"MGSL","Delhi","142.83","","141.94","","141.94",""
"MHHL","Dhar Dist","87.53","","5.53","","25.00",""
"MHLXMIRU","Ahmedabad","223.56","1.36","4.28","11.52","48.61","514450"
"MHRIL","Mumbai","6555.45","5.07","69.00","12.90","124.94","533088"
"MICEL","Hyderabad","1237.84","1650.33","9760.67","514.86","3029.67","532850"
"MICROPRO","Nagpur","31.24","","9.92","","14.67",""
"MID150","","","","73.78","","79.46",""
"MID150BEES","","","21.85","650.40","21.85","730.14","590144"
"MID150CASE","","","179.51","1544.48","230.07","1094.71","544193"
"MIDCAP","","","","50.29","","48.52",""
"MIDCAP200","","","","","","",""
"MIDCAP50","","3858389.49","","796866.06","","826086.96",""
"MIDCAPETF","","","219.88","2234.19","293.15","2245.65","543481"
"MIDCAPIETF","","","52.41","963.80","55.42","996.37","542921"
"MIDCPNIFTY","","2272645.30","","701200.51","","648460.63",""
"MIDEASTSTL","New Delhi","132.08","","","","","540744"
"MIDHANI","Hyderabad","6977.48","33.59","394.20","59.36","824.66","541195"
"MIDINDIA","Mandsaur","12.84","2.36","","3.18","","500277"
"MIDQ50ADD","","","0.81","6.89","0.66","6.05","543438"
"MIDSELIETF","","","25.70","168.16","28.21","280.95","539980"
"MIDSMALL","","","27.85","301.42","38.61","358.72","544180"
"MIDWESTLTD","Hyderabad","3944.78","96.09","747.04","96.09","747.04","544587"
"MIEL","Bhopal","38.36","","24.89","","27.64",""
"MILTON","Ahmedabad","44.44","","11.73","","8.90",""
"MILTONPLAS","Thane Dist","11.56","5.38","","10.27","","526143"
"MINDACORP","New Delhi","13704.03","54.02","894.94","25.95","509.73","538962"
"MINDPOOL","Pune","30.13","","7.50","","11.35",""
"MINDSPACE","Mumbai","","17.70","143.10","11.09","402.53","543217"
"MINDTECK","Bengaluru","800.13","12.14","148.58","12.19","114.23","517344"
"MINDTREE","Bengaluru","56612.65","","","","","532819"
"MIRCELECTR","Mumbai","967.44","384.86","1678.78","194.28","1005.37","500279"
"MIRZAINT","Noida","505.40","45.20","418.17","39.67","346.88","526642"
"MITCON","Pune","122.02","","34.23","","29.70",""
"MITTAL","Mumbai","66.14","","709.90","","3189.40",""
"MKPL","Ambala","247.37","41.61","210.52","73.64","278.72","543919"
"MMEL","Mumbai","125.06","","25.46","","101.65",""
"MMFL","Chennai","1469.21","14.32","54.97","7.27","71.01","522241"
"MMNL","Ahmedabad","20.00","","","","",""
"MMP","Nagpur","710.51","","25.00","","33.39",""
"MMTC","New Delhi","9937.50","221.67","2372.71","500.93","4243.11","513377"
"MMWL","Mumbai","1468.03","86.37","","203.50","","512267"
"MNC","","","","88.70","","70.11",""
"MOALPHA50","","","","6.77","","6.81",""
"MOBIKWIK","Gurugram","1931.46","680.89","7204.64","651.13","8302.79","544305"
"MOCAPITAL","","","","492.35","","460.21",""
"MODEFENCE","","","","2280.67","","1843.24",""
"MODERNDENM","Sirohi Dist","","","","","","500451"
"MODERNMAL","Kolkata","42.53","0.41","","0.41","","517336"
"MODERNWOOL","Jaipur","","","","","","500283"
"MODINSULAT","Sirohi","738.98","59.10","","37.98","","515008"
"MODIPON","Ghaziabad","49.76","0.40","","0.31","","503776"
"MODIRUBBER","Ghaziabad","306.90","1.83","17.07","2.03","10.83","500890"
"MODISONLTD","Mumbai","462.41","8.14","86.47","7.87","65.70","506261"
"MODRNSYNTX","Jaipur","","","","","","500281"
"MODTHREAD","Bhilwara","155.79","0.67","6.33","1.26","3.15","500282"
"MOGSEC","","","36.22","15.73","29.15","21.73","543250"
"MOHEALTH","","","6.57","57.22","6.27","75.72","543563"
"MOHITIND","Surat","46.72","12.18","44.20","8.51","39.61","531453"
"MOIL","Nagpur","7268.49","60.22","865.41","69.26","1026.01","533286"
"MOINFRA","","","","4.72","","3.83",""
"MOKSH","Mumbai","124.34","","248.28","","381.02",""
"MOL","Ahmedabad","1925.41","71.62","514.84","78.28","945.01","543331"
"MOLDTECH","Hyderabad","550.90","10.72","134.63","13.99","109.78","526263"
"MOLDTKPAC","Hyderabad","2318.71","10.72","68.06","8.00","82.37","533080"
"MOLOWVOL","","","0.54","51.45","1.83","90.40","543501"
"MOM100","","","39.69","382.21","50.49","483.06","536960"
"MOM30IETF","","","73.03","966.53","109.35","1626.14","543568"
"MOM50","","","0.67","8.54","0.72","6.36","590115"
"MOMAI","Mumbai","225.53","","","","",""
"MOMENTUM","","","7.94","64.28","14.04","116.26","543575"
"MOMENTUM50","","","","421.42","","496.51",""
"MOMGF","","","","5.38","","3.15",""
"MOMIDMTM","","","","38.42","","35.05",""
"MOMOMENTUM","","","11.41","93.79","20.48","132.00","543465"
"MON100","","","165.01","1055.98","146.30","1008.93","533385"
"MON50EQUAL","","","","6.06","","3.68",""
"MONARCH","Gandhinagar","2420.46","14.26","184.07","25.96","212.27","511551"
"MONEXT50","","","","5.10","","5.22",""
"MONEYBOXX","New Delhi","503.16","13.98","29.18","17.16","29.18","538446"
"MONICAELEC","New Delhi","","","","","","523544"
"MONIFTY500","","","","429.73","","403.64",""
"MONOLITH","Purulia Dist","1144.62","","45.23","","153.45",""
"MONOPHARMA","Ahmedabad","36.22","","10.32","","21.17",""
"MONQ50","","","28.99","235.66","24.10","205.00","543437"
"MONSANTO","Mumbai","3839.93","","","","","524084"
"MONTARIND","Nawanshahar","","","","","","500286"
"MONTECARLO","Ludhiana","1479.44","4.09","51.88","3.00","42.74","538836"
"MOPSE","","","","1.70","","1.25",""
"MOQUALITY","","","0.17","1.41","0.29","2.16","543577"
"MORARJEE","Mumbai","30.92","3.61","6.69","6.28","11.96","532621"
"MOREALTY","","","","490.82","","348.01",""
"MOREPENLAB","Solan Dist","2599.49","323.24","3014.53","469.88","4942.86","500288"
"MOS","Mumbai","623.01","","401.81","","178.25",""
"MOSCHIP","Hyderabad","4415.08","1037.35","7072.60","579.26","2941.87","532407"
"MOSMALL250","","","","1132.13","","1151.39",""
"MOTHERSON","Mumbai","109766.20","1032.30","18249.24","830.20","16589.82","517334"
"MOTILALOFS","Mumbai","59357.34","74.94","1101.17","140.34","2101.56","532892"
"MOTISONS","Jaipur","1625.34","185.74","1920.01","366.20","2722.14","544053"
"MOTOGENFIN","New Delhi","100.88","4.44","38.86","9.57","38.76","501343"
"MOTOUR","","","","10.46","","7.95",""
"MOVALUE","","","5.32","64.21","7.78","94.57","543576"
"MOXSH","Mumbai","63.55","","26.17","","15.74",""
"MPEL","Gwalior","85.50","","190.76","","190.76",""
"MPHASIS","Bengaluru","52821.62","16.10","421.44","12.40","542.67","526299"
"MPSLTD","Chennai","3878.23","1.02","15.53","2.08","29.88","532440"
"MPTODAY","Bhopal","18.04","","3.50","","5.79",""
"MRF","Chennai","66708.43","0.42","7.51","0.38","7.54","500290"
"MRIL","Mumbai","166.44","","125.62","","125.62",""
"MRO","Ahmedabad","49.09","","","","",""
"MRPL","Mangalore","29741.60","416.28","6649.20","290.26","4864.79","500109"
"MSCIINDIA","","","","47.59","","108.30",""
"MSPL","Kolkata","1821.68","84.37","994.98","82.40","728.44","532650"
"MSTCLTD","Kolkata","3760.77","24.68","342.92","23.11","289.18","542597"
"MSUMI","Mumbai","31759.03","617.56","7973.67","433.01","6060.15","543498"
"MTARTECH","Hyderabad","7278.64","40.45","478.75","23.95","263.61","543270"
"MTEDUCARE","Mumbai","15.17","5.16","15.62","11.51","26.11","534312"
"MTNL","New Delhi","2591.19","202.86","1708.70","665.19","5927.02","500108"
"MUFIN","New Delhi","2105.73","74.07","1064.63","45.27","522.44","542774"
"MUFTI","Mumbai","719.40","16.78","201.02","18.37","233.93","544058"
"MUKANDENGG","Mumbai","37.84","","","","","532097"
"MUKANDLTD","Mumbai","1939.85","19.81","200.58","23.17","247.62","500460"
"MUKATPIPE","Mumbai","18.34","2.46","","2.38","","523832"
"MUKERPAPER","Hoshiarpur Dist","","","","","","516068"
"MUKKA","Mangalore","730.20","42.84","333.07","78.30","539.24","544135"
"MUKTAARTS","Mumbai","151.05","1.99","10.69","2.82","19.96","532357"
"MULTICAP","","","50.34","279.57","52.09","251.70","544241"
"MUNISH","Ludhiana","310.51","","326.94","","326.94",""
"MUNJALAU","Vadodara Dist","880.90","71.57","952.04","30.71","384.73","520059"
"MUNJALSHOW","Gurgaon","511.54","6.01","70.01","6.31","78.94","520043"
"MURUDCERA","Hubli","254.83","10.77","45.94","9.79","56.55","515037"
"MUTHOOTCAP","Kochi","451.73","2.43","35.21","3.16","38.98","511766"
"MUTHOOTFIN","Ernakulam","127717.16","24.90","645.30","20.70","716.48","533398"
"MUTHOOTMF","Mumbai","2744.92","15.23","180.66","25.18","268.19","544055"
"MVGJL","Vishakhapatnam","976.95","10.43","99.58","25.82","283.05","543995"
"MVKAGRO","Nanded","2782.26","","99.21","","63.06",""
"MWL","Ahmedabad","663.25","","24.18","","24.25",""
"MYMUDRA","New Delhi","101.90","","31.20","","25.44",""
"MYSOREBANK","Bengaluru","2911.77","","","","","532200"
"MYSORPETRO","Bengaluru","72.52","0.89","","2.39","","506734"
"NACLIND","Hyderabad","3829.73","33.01","228.57","80.63","699.28","524709"
"NAGAFERT","Hyderabad","289.46","105.22","473.85","234.82","890.37","539917"
"NAGARFERT","Hyderabad","2421.94","","","","","500075"
"NAGREEKCAP","Kolkata","42.88","6.43","30.68","3.69","14.51","532895"
"NAGREEKEXP","Kolkata","92.44","11.43","80.88","6.95","37.19","521109"
"NAHARCAP","Ludhiana","465.71","0.63","4.01","1.52","12.70","532952"
"NAHARINDUS","Ludhiana","479.58","1.32","11.88","5.55","36.37","519136"
"NAHARPOLY","Ludhiana","751.16","1.86","15.16","3.97","30.11","523391"
"NAHARSPING","Ludhiana","728.52","2.03","23.40","3.25","40.33","500296"
"NAKODA","Surat Dist","1.50","","","","","521030"
"NAMAN","Mumbai","101.85","","7.63","","13.68",""
"NAMAN","Palghar","101.85","","7.63","","13.68",""
"NAM-INDIA","Mumbai","55155.90","61.89","911.77","56.29","1004.94","540767"
"NAMOEWASTE","New Delhi","424.76","","55.41","","68.01",""
"NARMADA","Mahesana","87.14","32.90","222.73","38.74","198.48","543643"
"NATCAPSUQ","Bengaluru","211.58","5.22","37.29","4.44","20.80","524654"
"NATCOPHARM","Hyderabad","14336.85","50.75","504.89","66.43","884.24","524816"
"NATHBIOGEN","Chhatrapati Sambhajinagar - (Aurangabad)","317.18","2.19","18.83","4.83","29.54","537291"
"NATHPULP","Chhatrapati Sambhajinagar - (Aurangabad)","51.98","","","","","502407"
"NATIONALUM","Bhubaneswar","42361.91","582.40","8953.94","562.12","12030.81","532234"
"NATPEROXID","Mumbai","504.70","1.91","","2.06","","500298"
"NAUKRI","New Delhi","86152.40","46.52","1285.42","25.69","837.60","532777"
"NAVA","Hyderabad","16825.84","48.55","880.79","39.65","733.10","513023"
"NAVINFLUOR","Mumbai","31146.21","10.84","225.96","7.12","206.46","532504"
"NAVINIFTY","","0.00","","","1.18","2.23","543987"
"NAVKARCORP","Mumbai","1712.16","32.60","488.91","54.76","866.36","539332"
"NAVKARURB","Ahmedabad","239.01","125.65","1044.36","468.73","1286.63","531494"
"NAVNETEDUL","Mumbai","3415.53","27.65","508.52","15.50","235.86","508989"
"NAZARA","Mumbai","9693.22","134.90","1716.05","62.64","875.58","543280"
"NBCC","New Delhi","30078.00","601.53","8414.75","855.57","11257.33","534309"
"NBIFIN","Kolkata","707.57","","0.36","","1.14",""
"NCC","Hyderabad","12268.12","146.05","2413.23","234.47","4316.05","500294"
"NCLIND","Secunderabad","900.81","4.32","72.07","7.04","117.93","502168"
"NCONSDUR","","800338.20","","18790.17","","20234.95",""
"NDGL","Kolkata","368.96","","0.22","","0.22",""
"NDL","Ahmedabad","468.48","361.09","1816.50","683.29","3697.96","532641"
"NDLVENTURE","Mumbai","296.41","8.78","69.03","4.33","31.87","500189"
"NDRAUTO","New Delhi","2340.00","4.63","45.18","6.16","56.12","543214"
"NDRINVIT","Mumbai","","","127.88","","159.56",""
"NDTV","New Delhi","1010.91","21.18","197.72","24.66","223.59","532529"
"NECCLTD","Delhi","211.20","10.79","92.85","29.23","219.56","534615"
"NECLIFE","Mohali Dist","313.52","59.08","289.50","252.49","1656.71","532649"
"NEELAM","Mumbai","39.63","","21.93","","93.00",""
"NELCAST","Gudur","941.79","15.52","156.20","17.55","221.62","532864"
"NELCO","Navi Mumbai","1924.28","10.54","116.44","12.77","157.94","504112"
"NEO","Vadodara","20.50","21.16","","47.47","","544269"
"NEOCORP","Mumbai","5.78","","","","","523820"
"NEOGEN","Thane","3830.62","5.88","39.28","3.83","45.15","542665"
"NEPCPAPER","Muzaffarnagar","","","","","","531077"
"NEPCTEX","Coimbatore","","","","","","521192"
"NEPHROCARE","24 Parganas (North)","211.93","","24.19","","26.06",""
"NEPTUNE","Ahmedabad","364.72","","10.89","","46.00",""
"NESCO","Mumbai","8815.95","6.97","102.13","5.34","95.53","505355"
"NESTLEIND","New Delhi","244674.16","72.70","1387.94","53.35","987.47","500790"
"NETF","","","","2.42","","3.72",""
"NETWEB","Faridabad","18700.59","305.37","2840.58","107.13","1105.50","543945"
"NETWORK","New Delhi","508.39","150.97","","215.77","","523558"
"NETWORK18","Mumbai","7307.54","283.31","3663.93","572.86","7002.78","532798"
"NEULANDLAB","Hyderabad","22520.11","2.87","50.34","3.96","64.07","524558"
"NEWGEN","New Delhi","13617.68","117.52","1332.82","84.13","1022.51","540900"
"NEWJAISA","Bengaluru","129.13","","37.99","","45.71",""
"NEXT30ADD","","","1.43","42.09","1.30","50.91","544352"
"NEXT50","","","1.69","15.86","3.08","25.41","542922"
"NEXT50IETF","","","49.62","559.76","66.36","837.10","541809"
"NEXTMEDIA","Mumbai","46.02","2.50","15.58","7.25","23.58","532416"
"NFL","New Delhi","4573.17","98.35","1206.35","181.40","2302.53","523630"
"NFT10EQUAL","","9296836.86","","82358.87","","81925.07",""
"NFT150MOM50","","3582425.98","","190938.65","","160615.48",""
"NFT200VAL30","","4880920.76","","258598.69","","299981.52",""
"NFT500MOM50","","4469526.11","","149801.86","","196490.16",""
"NFTALLO30","","10781645.90","","90895.93","","88126.98",""
"NFTALQLV30","","9415832.77","","97823.86","","123238.89",""
"NFTALQVL30","","8551298.67","","80698.71","","83726.68",""
"NFTFINSEREXBNK","","3978287.03","","130398.31","","159157.72",""
"NFTMIDSMLFINSER","","1851495.31","","235261.96","","252603.54",""
"NFTMIDSMLHEALTH","","813340.98","","17413.62","","19201.67",""
"NFTMIDSMLINCONS","","2286050.16","","975864.77","","659694.90",""
"NFTMIDSMLITTELECOM","","702274.02","","970619.38","","655979.92",""
"NFTQTLO30","","9630899.07","","86648.07","","84677.49",""
"NFTSML250MOMQ100","","1788702.76","","159347.64","","189735.69",""
"NFTSMLCAP250Q50","","830221.79","","49339.45","","88980.12",""
"NFTTOURISM","","607624.52","","27158.16","","43722.30",""
"NFTY200MOM30","","8027847.02","","99623.71","","156835.79",""
"NFTY50FUTTR","","","","","","",""
"NGIL","Nagpur","51.72","32.42","174.87","17.85","86.69","541418"
"NGILPP","","0.00","","","2.39","","890204"
"NGLFINE","Mumbai","902.61","0.24","2.85","0.51","4.65","524774"
"NH","Bengaluru","37200.82","26.52","312.45","30.31","551.63","539551"
"NHIT","New Delhi","","616.67","413.04","1203.33","1036.09","543385"
"NHPC","Faridabad","83233.16","895.06","12173.81","1124.20","16655.80","533098"
"NI15","","5093542.61","","32905.14","","48469.57",""
"NIACL","Mumbai","30067.76","87.87","1108.53","134.84","1719.50","540769"
"NIBE","Pune","1694.26","11.54","70.17","23.40","90.15","535136"
"NIBL","Mumbai","66.71","8.53","49.70","8.27","40.77","535458"
"NICCO","Kolkata","5.01","","","","","590028"
"NIDAN","Palghar","27.38","","7.43","","10.68",""
"NIF100BEES","","","4.38","44.74","5.25","41.85","537483"
"NIF100IETF","","","14.40","211.66","11.82","211.53","537008"
"NIF10GETF","","","0.54","6.47","0.75","4.85","544104"
"NIF500LGMIDSML","","41588836.05","","3163445.80","","2752702.11",""
"NIF5GETF","","","0.70","4.75","0.38","4.20","544103"
"NIFITETF","","","0.21","2.22","0.21","1.52","544102"
"NIFMID150","","","0.65","4.41","0.33","3.43","543975"
"NIFTY","","20434530.30","","335587.54","","338966.20",""
"NIFTY1","","","5.58","136.73","7.03","123.19","537708"
"NIFTY100","","27973511.32","","572248.07","","644145.31",""
"NIFTY100ENHESG","","7782350.15","","256555.00","","273490.24",""
"NIFTY100ESG","","24001154.10","","466677.52","","510683.62",""
"NIFTY100ESGSECT","","10479095.17","","267427.94","","237206.22",""
"NIFTY100EW","","","","16.98","","19.61",""
"NIFTY100WEIGHT","","27973511.32","","572248.07","","644145.31",""
"NIFTY200","","34688393.68","","2294806.77","","1927563.02",""
"NIFTY200QLTY30","","6640948.69","","76328.55","","87183.39",""
"NIFTY500","","41570864.73","","3177382.88","","2761002.33",""
"NIFTY500VAL50","","5503570.96","","385798.64","","418342.39",""
"NIFTY50ADD","","","2.00","20.72","3.36","42.64","543440"
"NIFTY50ARBIT","","","","","","",""
"NIFTY50FUTURE","","","","","","",""
"NIFTYADITYA","","985464.72","","","","",""
"NIFTYALPHA","","6973761.32","","292823.01","","394904.64",""
"NIFTYAUTO","","2342143.52","","58288.77","","50245.46",""
"NIFTYBEES","","","447.41","4822.47","583.49","5809.24","590103"
"NIFTYBETF","","","1.49","5.15","0.58","19.22","544092"
"NIFTYCDTY","","6630443.83","","197284.51","","210162.12",""
"NIFTYCONSUMP","","7611179.75","","146615.50","","139441.09",""
"NIFTYCOREHSG","","2517026.92","","25485.10","","27665.94",""
"NIFTYCPSE","","1711337.96","","80625.08","","106454.02",""
"NIFTYDEFTY","","","","","","",""
"NIFTYDIGITAL","","5453913.88","","1048928.05","","736484.31",""
"NIFTYDIV","","","","","","",""
"NIFTYDIVOPPT","","9049422.05","","304887.70","","373026.50",""
"NIFTYEES","","0.00","","","","","539142"
"NIFTYENERGY","","5990512.34","","421463.91","","424499.10",""
"NIFTYEQWGT","","20232983.54","","317035.86","","314737.80",""
"NIFTYETF","","","9.02","190.35","16.50","258.21","542131"
"NIFTYFMCG","","2389562.44","","34872.77","","37258.18",""
"NIFTYFULLMIDCAP100","","5240654.54","","","","",""
"NIFTYFULLSMALLCAP100","","1378217.44","","","","",""
"NIFTYGSCOMP","","","","","","",""
"NIFTYHEALTH","","1942264.49","","30018.73","","26965.69",""
"NIFTYHIGHBETA","","5403322.62","","1333244.85","","1056302.92",""
"NIFTYHOUSING","","8526283.92","","296975.61","","330575.03",""
"NIFTYIETF","","","36.14","549.20","39.51","600.91","537007"
"NIFTYINDEFENCE","","1110217.47","","26035.06","","37816.55",""
"NIFTYINFRAST","","8188169.33","","202608.36","","175439.07",""
"NIFTYIT","","2945733.27","","27324.40","","28061.31",""
"NIFTYLGEMID250","","37025190.77","","2365048.99","","1986066.36",""
"NIFTYLOWVOL","","16902287.40","","142317.11","","145942.70",""
"NIFTYMAH","","655363.31","","","","",""
"NIFTYMEDIA","","94909.14","","20695.58","","38486.83",""
"NIFTYMETAL","","1850218.13","","105228.91","","113026.09",""
"NIFTYMFG","","10471325.47","","303356.13","","323672.68",""
"NIFTYMICRO250","","1842914.38","","420572.39","","398885.79",""
"NIFTYMIDCAP","","6714882.37","","1722558.70","","1283417.71",""
"NIFTYMIDCAP150","","9051679.46","","1792800.92","","1341921.06",""
"NIFTYMIDSMALL400","","13597353.42","","2605134.81","","2116857.02",""
